idSales,idProduk,quantity,total,created_at
1,1,3,30000,2023-10-02
1,2,2,24000,2023-10-02
1,3,5,75000,2023-10-02
1,4,1,18000,2023-10-02
1,5,3,60000,2023-10-02
2,1,5,50000,2023-10-03
2,2,3,36000,2023-10-03
2,3,4,60000,2023-10-03
2,4,2,26000,2023-10-03
2,5,1,20000,2023-10-03
3,1,3,30000,2023-10-05
3,2,2,24000,2023-10-05
3,3,2,30000,2023-10-05
3,5,1,20000,2023-10-05
4,2,3,36000,2023-10-06
4,3,2,30000,2023-10-06
4,4,3,54000,2023-10-06
4,5,4,80000,2023-10-06
5,1,1,10000,2023-10-07
5,2,4,48000,2023-10-07
5,3,4,60000,2023-10-07
5,5,3,60000,2023-10-07
6,1,3,30000,2023-10-08
6,2,3,36000,2023-10-08
6,3,3,45000,2023-10-08
6,5,2,40000,2023-10-08
7,1,3,30000,2023-10-09
7,2,3,36000,2023-10-09
7,3,3,45000,2023-10-09
7,5,1,20000,2023-10-09
8,1,1,10000,2023-10-10
8,3,2,30000,2023-10-10
8,4,2,36000,2023-10-10
8,5,4,80000,2023-10-10
9,1,2,20000,2023-10-11
9,2,4,48000,2023-10-11
9,3,3,45000,2023-10-11
9,4,1,18000,2023-10-11
9,5,2,40000,2023-10-11
10,1,2,20000,2023-10-12
10,2,3,48000,2023-10-12
10,3,2,30000,2023-10-12
10,4,1,18000,2023-10-12
11,1,4,40000,2023-10-13
11,2,2,24000,2023-10-13
11,3,2,30000,2023-10-13
11,4,1,18000,2023-10-13
11,5,1,20000,2023-10-13
12,1,3,30000,2023-10-14
12,2,5,60000,2023-10-14
12,3,4,60000,2023-10-14
13,1,2,20000,2023-10-15
13,2,1,12000,2023-10-15
13,3,8,120000,2023-10-15
13,4,1,18000,2023-10-15
13,5,3,60000,2023-10-15
14,2,2,24000,2023-10-17
14,3,5,75000,2023-10-17
14,4,1,18000,2023-10-17
14,5,1,20000,2023-10-17
15,1,5,50000,2023-10-18
15,3,3,45000,2023-10-18
15,5,4,80000,2023-10-18
16,1,4,40000,2023-10-19
16,2,5,60000,2023-10-19
16,3,2,30000,2023-10-19
17,1,2,20000,2023-10-20
17,2,4,48000,2023-10-20
17,3,3,45000,2023-10-20
17,5,2,40000,2023-10-20
18,1,1,10000,2023-10-21
18,2,3,36000,2023-10-21
18,3,1,15000,2023-10-21
18,4,1,18000,2023-10-21
18,5,1,20000,2023-10-21
19,1,5,50000,2023-10-23
19,2,4,48000,2023-10-23
19,3,3,45000,2023-10-23
19,4,3,54000,2023-10-23
19,5,3,60000,2023-10-23
20,1,1,10000,2023-10-24
20,2,3,36000,2023-10-24
20,3,4,60000,2023-10-24
20,4,1,18000,2023-10-24
20,5,3,60000,2023-10-24
21,1,2,20000,2023-10-25
21,2,1,12000,2023-10-25
21,3,3,45000,2023-10-25
21,4,1,18000,2023-10-25
21,5,2,40000,2023-10-25
22,1,5,50000,2023-10-27
22,2,5,60000,2023-10-27
22,3,4,60000,2023-10-27
22,4,2,36000,2023-10-27
22,5,1,20000,2023-10-27
23,1,2,20000,2023-10-28
23,2,4,48000,2023-10-28
23,3,1,15000,2023-10-28
23,5,11,220000,2023-10-28
24,1,2,20000,2023-10-29
24,2,4,48000,2023-10-29
24,3,1,15000,2023-10-29
25,1,6,60000,2023-10-30
25,2,6,72000,2023-10-30
25,3,8,120000,2023-10-30
25,4,4,72000,2023-10-30
